Dataset	Window_Size	BZ_Avg(ms)	UCR_Avg(ms)	Speedup
cit-Patents	10	261.25	51.35	5.09
cit-Patents	20	720.39	55.03	13.09
cit-Patents	50	5819.77	67.89	85.73
cit-Patents	100	21480.43	94.26	227.87
citation_network_10M	10	152.10	78.33	1.94
citation_network_10M	20	519.49	73.90	7.03
citation_network_10M	50	3511.18	178.26	19.70
citation_network_10M	100	9094.65	244.12	37.25
soc-LiveJournal1	10	3065.19	344.86	8.89
soc-LiveJournal1	20	9670.73	430.87	22.44
soc-LiveJournal1	50	28244.24	730.47	38.67
soc-LiveJournal1	100	48396.78	1281.57	37.76
sx-stackoverflow	10	194.37	124.48	1.56
sx-stackoverflow	20	300.91	232.37	1.29
sx-stackoverflow	50	724.28	660.31	1.10
sx-stackoverflow	100	1854.13	1816.36	1.02
sx-superuser	10	8.16	1.83	4.46
sx-superuser	20	10.60	2.62	4.05
sx-superuser	50	16.84	4.86	3.47
sx-superuser	100	28.84	9.87	2.92
wiki-talk-temporal	10	1.12	0.81	1.38
wiki-talk-temporal	20	7.68	1.31	5.87
wiki-talk-temporal	50	16.56	2.39	6.93
