Date	Day	MaxCore	VerticesInMaxCore	ProcessingTime(ms)
2009-01-19	7	1	18	0.01
2009-01-20	8	1	19	0.00
2009-01-21	9	1	17	0.00
2009-01-22	10	1	11	0.00
2009-01-23	11	1	7	0.00
2009-01-24	12	1	7	167.54
2009-01-25	13	1	5	0.00
2009-01-26	14	1	5	0.00
2009-01-27	15	1	5	0.00
2009-01-28	16	1	5	0.00
2009-01-29	17	1	5	0.00
2009-01-30	18	1	5	0.00
2009-01-31	19	1	5	0.00
2009-02-01	20	1	5	0.00
2009-02-02	21	1	5	0.00
2009-02-03	22	1	5	0.01
2009-02-04	23	1	5	0.00
2009-02-05	24	1	5	0.00
2009-02-06	25	1	5	0.00
2009-02-07	26	1	5	0.00
2009-02-08	27	1	5	0.00
2009-02-09	28	1	5	0.00
2009-02-10	29	1	5	0.00
2009-02-11	30	1	5	0.00
2009-02-12	31	1	5	0.00
2009-02-13	32	1	5	0.00
2009-02-14	33	1	5	0.00
2009-02-15	34	1	5	0.00
2009-02-16	35	1	5	0.00
2009-02-17	36	1	5	0.00
2009-02-18	37	1	5	0.00
2009-02-19	38	1	5	0.00
2009-02-20	39	1	5	0.00
2009-02-21	40	1	5	0.00
2009-02-22	41	1	5	0.00
2009-02-23	42	1	5	0.00
2009-02-24	43	1	5	0.00
2009-02-25	44	1	5	0.00
2009-02-26	45	1	5	0.00
2009-02-27	46	1	5	0.00
2009-02-28	47	1	5	0.00
2009-03-01	48	1	5	0.00
2009-03-02	49	1	5	0.00
2009-03-03	50	1	5	0.00
2009-03-04	51	1	5	0.00
2009-03-05	52	1	5	0.00
2009-03-06	53	1	5	0.00
2009-03-07	54	1	5	0.00
2009-03-08	55	1	5	0.00
2009-03-09	56	1	5	0.00
2009-03-10	57	1	5	0.00
2009-03-11	58	1	5	0.00
2009-03-12	59	1	5	0.00
2009-03-13	60	1	5	0.00
2009-03-14	61	1	5	0.00
2009-03-15	62	1	5	0.00
2009-03-16	63	1	5	0.00
2009-03-17	64	1	5	0.00
2009-03-18	65	1	5	0.00
2009-03-19	66	1	5	0.00
2009-03-20	67	1	5	0.00
2009-03-21	68	1	5	0.00
2009-03-22	69	1	5	0.00
2009-03-23	70	1	5	0.00
2009-03-24	71	1	5	0.00
2009-03-25	72	1	5	0.00
2009-03-26	73	1	5	0.00
2009-03-27	74	1	5	0.00
2009-03-28	75	1	5	0.00
2009-03-29	76	1	5	0.00
2009-03-30	77	1	5	0.00
2009-03-31	78	1	5	0.00
2009-04-01	79	1	5	0.00
2009-04-02	80	1	5	0.00
2009-04-03	81	1	5	0.00
2009-04-04	82	1	5	0.00
2009-04-05	83	1	5	0.00
2009-04-06	84	1	5	0.00
2009-04-07	85	1	5	0.00
2009-04-08	86	1	5	0.00
2009-04-09	87	1	5	0.00
2009-04-10	88	1	5	0.00
2009-04-11	89	1	5	0.00
2009-04-12	90	1	5	0.00
2009-04-13	91	1	5	0.00
2009-04-14	92	1	5	0.00
2009-04-15	93	1	5	0.00
2009-04-16	94	1	5	0.00
2009-04-17	95	1	5	0.00
2009-04-18	96	1	5	0.00
2009-04-19	97	1	5	0.00
2009-04-20	98	1	5	0.00
2009-04-21	99	1	5	0.00
2009-04-22	100	1	5	0.00
2009-04-23	101	1	5	0.00
2009-04-24	102	1	5	0.00
2009-04-25	103	1	5	0.00
2009-04-26	104	1	5	0.00
2009-04-27	105	1	5	0.00
2009-04-28	106	1	5	0.00
2009-04-29	107	1	5	0.00
2009-04-30	108	1	5	0.00
2009-05-01	109	1	5	0.00
2009-05-02	110	1	5	0.00
2009-05-03	111	1	5	0.00
2009-05-04	112	1	5	0.00
2009-05-05	113	1	5	0.00
2009-05-06	114	1	5	0.00
2009-05-07	115	1	5	0.00
2009-05-08	116	1	5	0.00
2009-05-09	117	1	5	0.00
2009-05-10	118	1	5	0.00
2009-05-11	119	1	5	0.00
2009-05-12	120	1	5	0.00
2009-05-13	121	1	5	0.00
2009-05-14	122	1	5	0.00
2009-05-15	123	1	5	0.00
2009-05-16	124	1	5	0.00
2009-05-17	125	1	5	0.00
2009-05-18	126	1	5	0.00
2009-05-19	127	1	5	0.00
2009-05-20	128	1	5	0.00
2009-05-21	129	1	5	0.00
2009-05-22	130	1	5	0.00
2009-05-23	131	1	5	0.00
2009-05-24	132	1	5	0.00
2009-05-25	133	1	5	0.00
2009-05-26	134	1	5	0.00
2009-05-27	135	1	5	0.00
2009-05-28	136	1	5	0.00
2009-05-29	137	1	5	0.00
2009-05-30	138	1	5	0.00
2009-05-31	139	1	5	0.00
2009-06-01	140	1	5	0.00
2009-06-02	141	1	5	0.00
2009-06-03	142	1	5	0.00
2009-06-04	143	1	5	0.00
2009-06-05	144	1	5	0.00
2009-06-06	145	1	5	0.00
2009-06-07	146	1	5	0.00
2009-06-08	147	1	5	0.00
2009-06-09	148	1	5	0.00
2009-06-10	149	1	5	0.00
2009-06-11	150	1	5	0.00
2009-06-12	151	1	5	0.00
2009-06-13	152	1	5	0.00
2009-06-14	153	1	5	0.00
2009-06-15	154	1	5	0.00
2009-06-16	155	1	5	0.00
2009-06-17	156	1	5	0.00
2009-06-18	157	1	5	0.00
2009-06-19	158	1	5	0.00
2009-06-20	159	1	5	0.00
2009-06-21	160	1	5	0.00
2009-06-22	161	1	5	0.00
2009-06-23	162	1	5	0.00
2009-06-24	163	1	5	0.00
2009-06-25	164	1	5	0.00
2009-06-26	165	1	5	0.00
2009-06-27	166	1	5	0.00
2009-06-28	167	1	5	0.00
2009-06-29	168	1	5	0.00
2009-06-30	169	1	5	0.00
2009-07-01	170	1	5	0.00
2009-07-02	171	1	5	0.00
2009-07-03	172	1	5	0.00
2009-07-04	173	1	5	0.00
2009-07-05	174	1	5	0.00
2009-07-06	175	1	5	0.00
2009-07-07	176	1	5	0.00
2009-07-08	177	1	5	0.00
2009-07-09	178	1	5	0.00
2009-07-10	179	1	5	0.00
2009-07-11	180	1	5	0.00
2009-07-12	181	1	5	0.00
2009-07-13	182	1	5	0.00
2009-07-14	183	1	5	0.00
2009-07-15	184	1	5	0.00
2009-07-16	185	1	5	0.00
2009-07-17	186	1	5	0.00
2009-07-18	187	1	5	0.00
2009-07-19	188	1	5	0.00
2009-07-20	189	1	5	0.00
2009-07-21	190	1	5	0.00
2009-07-22	191	1	5	0.00
2009-07-23	192	1	5	0.00
2009-07-24	193	1	5	0.00
2009-07-25	194	1	5	0.00
2009-07-26	195	1	5	0.00
2009-07-27	196	1	5	0.00
2009-07-28	197	1	5	0.00
2009-07-29	198	1	5	0.00
2009-07-30	199	1	5	0.00
2009-07-31	200	1	5	0.00
2009-08-01	201	1	5	0.00
2009-08-02	202	1	5	0.00
2009-08-03	203	1	5	0.00
2009-08-04	204	1	5	0.00
2009-08-05	205	1	5	0.00
2009-08-06	206	1	5	0.00
2009-08-07	207	1	5	0.00
2009-08-08	208	1	5	0.00
2009-08-09	209	1	5	0.00
2009-08-10	210	1	5	0.00
2009-08-11	211	1	5	0.00
2009-08-12	212	1	5	0.00
2009-08-13	213	1	5	0.00
2009-08-14	214	1	5	0.00
2009-08-15	215	1	5	0.00
2009-08-16	216	1	5	0.00
2009-08-17	217	1	5	0.00
2009-08-18	218	1	5	0.00
2009-08-19	219	1	5	0.00
2009-08-20	220	1	5	0.00
2009-08-21	221	1	5	0.00
2009-08-22	222	1	5	0.00
2009-08-23	223	1	5	0.00
2009-08-24	224	1	5	0.00
2009-08-25	225	1	5	0.00
2009-08-26	226	1	5	0.00
2009-08-27	227	1	5	0.00
2009-08-28	228	1	5	0.00
2009-08-29	229	1	5	0.00
2009-08-30	230	1	5	0.00
2009-08-31	231	1	5	0.00
2009-09-01	232	1	5	0.00
2009-09-02	233	1	5	0.00
2009-09-03	234	1	5	0.00
2009-09-04	235	1	5	0.00
2009-09-05	236	1	5	0.00
2009-09-06	237	1	5	0.00
2009-09-07	238	1	5	0.00
2009-09-08	239	1	5	0.00
2009-09-09	240	1	5	0.00
2009-09-10	241	1	5	0.00
2009-09-11	242	1	5	0.00
2009-09-12	243	1	5	0.00
2009-09-13	244	1	5	0.00
2009-09-14	245	1	5	0.00
2009-09-15	246	1	5	0.00
2009-09-16	247	1	5	0.00
2009-09-17	248	1	5	0.00
2009-09-18	249	1	5	0.00
2009-09-19	250	1	5	0.00
2009-09-20	251	1	5	0.00
2009-09-21	252	1	5	0.00
2009-09-22	253	1	5	0.00
2009-09-23	254	1	5	0.00
2009-09-24	255	1	5	0.00
2009-09-25	256	1	5	0.00
2009-09-26	257	1	5	0.00
2009-09-27	258	1	5	0.00
2009-09-28	259	1	5	0.00
2009-09-29	260	1	5	0.00
2009-09-30	261	1	5	0.00
2009-10-01	262	1	5	0.00
2009-10-02	263	1	5	0.00
2009-10-03	264	1	5	0.00
2009-10-04	265	1	5	0.00
2009-10-05	266	1	5	0.00
2009-10-06	267	1	5	0.00
2009-10-07	268	1	5	0.00
2009-10-08	269	1	5	0.00
2009-10-09	270	1	5	0.00
2009-10-10	271	1	5	0.00
2009-10-11	272	1	5	0.00
2009-10-12	273	1	5	0.00
2009-10-13	274	1	5	0.00
2009-10-14	275	1	5	0.00
2009-10-15	276	1	5	0.00
2009-10-16	277	1	5	0.00
2009-10-17	278	1	5	0.00
2009-10-18	279	1	5	0.00
2009-10-19	280	1	5	0.00
2009-10-20	281	1	5	0.00
2009-10-21	282	1	5	0.00
2009-10-22	283	1	5	0.00
2009-10-23	284	1	5	0.00
2009-10-24	285	1	5	0.00
2009-10-25	286	1	5	0.00
2009-10-26	287	1	5	0.00
2009-10-27	288	1	5	0.00
2009-10-28	289	1	5	0.00
2009-10-29	290	1	5	0.00
2009-10-30	291	1	5	0.00
2009-10-31	292	1	5	0.00
2009-11-01	293	1	5	0.00
2009-11-02	294	1	5	0.00
2009-11-03	295	1	5	0.00
2009-11-04	296	1	5	0.00
2009-11-05	297	1	5	0.00
2009-11-06	298	1	5	0.00
2009-11-07	299	1	5	0.00
2009-11-08	300	1	5	0.00
2009-11-09	301	1	5	0.00
2009-11-10	302	1	5	0.00
2009-11-11	303	1	5	0.00
2009-11-12	304	1	5	0.00
2009-11-13	305	1	5	0.00
2009-11-14	306	1	5	0.00
2009-11-15	307	1	5	0.00
2009-11-16	308	1	5	0.00
2009-11-17	309	1	5	0.00
2009-11-18	310	1	5	0.00
2009-11-19	311	1	5	0.00
2009-11-20	312	1	5	0.00
2009-11-21	313	1	5	0.00
2009-11-22	314	1	5	0.00
2009-11-23	315	1	5	0.00
2009-11-24	316	1	5	0.00
2009-11-25	317	1	5	0.00
2009-11-26	318	1	5	0.00
2009-11-27	319	1	5	0.00
2009-11-28	320	1	5	0.00
2009-11-29	321	1	5	0.00
2009-11-30	322	1	5	0.00
2009-12-01	323	1	5	0.00
2009-12-02	324	1	5	0.00
2009-12-03	325	1	5	0.00
2009-12-04	326	1	5	0.00
2009-12-05	327	1	5	0.00
2009-12-06	328	1	5	0.00
2009-12-07	329	1	5	0.00
2009-12-08	330	1	5	0.00
2009-12-09	331	1	5	0.01
2009-12-10	332	1	5	0.00
2009-12-11	333	1	5	0.00
2009-12-12	334	1	5	0.00
2009-12-13	335	1	5	0.00
2009-12-14	336	1	5	0.01
2009-12-15	337	1	5	0.01
2009-12-16	338	1	5	0.00
2009-12-17	339	1	5	0.00
2009-12-18	340	1	5	0.00
2009-12-19	341	1	5	0.00
2009-12-20	342	1	5	0.00
2009-12-21	343	1	5	0.00
2009-12-22	344	1	5	0.00
2009-12-23	345	1	5	0.00
2009-12-24	346	1	5	0.00
2009-12-25	347	1	5	0.00
2009-12-26	348	1	5	0.00
2009-12-27	349	1	5	0.00
2009-12-28	350	1	5	0.00
2009-12-29	351	1	5	0.00
2009-12-30	352	1	5	0.00
2009-12-31	353	1	5	0.00
2010-01-01	354	1	5	0.00
2010-01-02	355	1	5	0.00
2010-01-03	356	1	5	0.00
2010-01-04	357	1	5	0.00
2010-01-05	358	1	5	0.00
2010-01-06	359	1	5	0.00
2010-01-07	360	1	5	0.00
2010-01-08	361	1	5	0.00
2010-01-09	362	1	5	0.00
2010-01-10	363	1	5	0.00
2010-01-11	364	1	5	0.00
2010-01-12	365	1	5	0.00
2010-01-13	366	1	5	0.00
2010-01-14	367	1	5	0.00
2010-01-15	368	1	5	0.00
2010-01-16	369	1	5	0.00
2010-01-17	370	1	5	0.00
2010-01-18	371	1	5	0.00
2010-01-19	372	1	5	0.00
2010-01-20	373	1	5	0.00
2010-01-21	374	1	5	0.01
2010-01-22	375	1	5	0.00
2010-01-23	376	1	5	0.00
2010-01-24	377	1	5	0.00
2010-01-25	378	1	5	0.00
2010-01-26	379	1	5	0.01
2010-01-27	380	1	5	0.00
2010-01-28	381	1	5	0.01
2010-01-29	382	1	5	0.01
2010-01-30	383	1	5	0.01
2010-01-31	384	1	5	0.01
2010-02-01	385	1	5	0.01
2010-02-02	386	1	5	0.00
2010-02-03	387	1	5	0.00
2010-02-04	388	1	5	0.01
2010-02-05	389	1	5	0.01
2010-02-06	390	1	5	0.00
2010-02-07	391	1	5	0.01
2010-02-08	392	1	5	0.01
2010-02-09	393	1	5	0.10
2010-02-10	394	1	5	0.01
2010-02-11	395	1	5	0.01
2010-02-12	396	1	5	0.01
2010-02-13	397	1	5	0.01
2010-02-14	398	1	5	0.01
2010-02-15	399	1	5	0.01
2010-02-16	400	1	5	0.01
2010-02-17	401	1	5	0.01
2010-02-18	402	1	5	0.01
2010-02-19	403	1	5	0.00
2010-02-20	404	1	5	0.01
2010-02-21	405	1	5	0.01
2010-02-22	406	1	5	0.01
2010-02-23	407	1	5	0.00
2010-02-24	408	1	5	0.01
2010-02-25	409	1	5	0.01
2010-02-26	410	1	5	0.01
2010-02-27	411	1	5	0.01
2010-02-28	412	1	5	0.01
2010-03-01	413	1	5	0.01
