Dataset	WindowSize	StepSize	RemoveEdges	AddEdges	BZ_Time(ms)	UCR_Parallel_Time(ms)	Speedup	BZ_EdgePerMs	UCR_EdgePerMs	Threads
sx-stackoverflow	10	1	52132	52916	242.98	26.86	9.04	432.33	3910.30	8
sx-stackoverflow	10	2	94125	94953	217.33	46.93	4.63	870.02	4028.51	8
sx-stackoverflow	10	5	220659	214325	232.36	101.03	2.30	1872.01	4305.69	8
sx-stackoverflow	10	10	428336	418562	259.38	205.45	1.26	3265.10	4122.11	8
sx-stackoverflow	20	1	52132	50020	327.87	30.47	10.76	311.56	3352.66	8
sx-stackoverflow	20	2	94125	91111	310.26	54.19	5.72	597.03	3417.99	8
sx-stackoverflow	20	5	220659	210460	325.25	110.21	2.95	1325.50	3911.97	8
sx-stackoverflow	20	10	428336	423012	349.33	209.17	1.67	2437.10	4070.21	8
sx-stackoverflow	20	20	846898	884371	342.50	469.82	0.73	5054.74	3684.99	8
sx-stackoverflow	30	1	52132	48220	433.29	34.03	12.73	231.60	2948.75	8
sx-stackoverflow	30	2	94125	96652	415.90	60.73	6.85	458.71	3141.57	8
sx-stackoverflow	30	5	220659	229844	438.64	129.59	3.38	1027.05	3476.37	8
sx-stackoverflow	30	10	428336	461359	474.90	244.18	1.94	1873.44	3643.57	8
sx-stackoverflow	30	20	846898	888338	450.97	431.78	1.04	3847.76	4018.80	8
sx-stackoverflow	30	30	1269910	1377277	434.16	811.07	0.54	6097.32	3263.84	8
sx-stackoverflow	50	1	52132	40733	674.19	38.64	17.45	137.74	2403.44	8
sx-stackoverflow	50	2	94125	100691	656.77	76.55	8.58	296.63	2544.89	8
sx-stackoverflow	50	5	220659	241562	677.44	151.68	4.47	682.31	3047.27	8
sx-stackoverflow	50	10	428336	488939	726.94	284.40	2.56	1261.83	3225.27	8
sx-stackoverflow	50	20	846898	1020537	740.65	548.35	1.35	2521.35	3405.58	8
sx-stackoverflow	50	30	1269910	1565883	744.42	823.79	0.90	3809.41	3442.37	8
sx-stackoverflow	50	50	2158248	2668093	840.82	1915.43	0.44	5740.01	2519.72	8
sx-stackoverflow	80	1	52132	45542	1181.09	59.45	19.87	82.70	1643.07	8
sx-stackoverflow	80	2	94125	113089	1171.29	104.73	11.18	176.91	1978.50	8
sx-stackoverflow	80	5	220659	271578	1224.71	203.17	6.03	401.92	2422.78	8
sx-stackoverflow	80	10	428336	550034	1248.74	371.67	3.36	783.49	2632.34	8
sx-stackoverflow	80	20	846898	1102210	1290.05	746.04	1.73	1510.88	2612.59	8
sx-stackoverflow	80	30	1269910	1646284	1301.67	1059.14	1.23	2240.35	2753.37	8
sx-stackoverflow	80	50	2158248	2799740	1453.53	1701.26	0.85	3411.00	2914.31	8
sx-stackoverflow	100	1	52132	42554	1605.32	60.03	26.74	58.98	1577.21	8
sx-stackoverflow	100	2	94125	108075	1584.82	113.33	13.98	127.59	1784.23	8
sx-stackoverflow	100	5	220659	270008	1626.51	221.00	7.36	301.67	2220.24	8
sx-stackoverflow	100	10	428336	544074	1674.63	472.84	3.54	580.67	2056.51	8
sx-stackoverflow	100	20	846898	1115451	1720.52	820.01	2.10	1140.55	2393.09	8
sx-stackoverflow	100	30	1269910	1697530	1741.88	1171.80	1.49	1703.59	2532.38	8
sx-stackoverflow	100	50	2158248	2835477	1909.40	1886.79	1.01	2615.33	2646.68	8
sx-stackoverflow	120	1	52132	38849	2056.53	66.47	30.94	44.24	1368.74	8
sx-stackoverflow	120	2	94125	110953	2044.89	125.06	16.35	100.29	1639.79	8
sx-stackoverflow	120	5	220659	292750	2093.73	257.11	8.14	245.21	1996.86	8
sx-stackoverflow	120	10	428336	582079	2170.21	453.23	4.79	465.59	2229.39	8
sx-stackoverflow	120	20	846898	1149612	2200.69	844.60	2.61	907.22	2363.84	8
sx-stackoverflow	120	30	1269910	1720026	2295.81	1282.76	1.79	1302.35	2330.86	8
sx-stackoverflow	120	50	2158248	2932133	2459.67	2085.03	1.18	2069.54	2441.39	8
sx-stackoverflow	150	1	52132	46824	2845.43	82.72	34.40	34.78	1196.24	8
sx-stackoverflow	150	2	94125	108886	2835.29	136.57	20.76	71.60	1486.47	8
sx-stackoverflow	150	5	220659	304190	2883.84	362.49	7.96	182.00	1447.90	8
sx-stackoverflow	150	10	428336	604231	2965.76	593.23	5.00	348.16	1740.59	8
sx-stackoverflow	150	20	846898	1212107	3060.65	1042.24	2.94	672.74	1975.55	8
sx-stackoverflow	150	30	1269910	1804585	3182.47	1479.88	2.15	966.07	2077.53	8
sx-stackoverflow	150	50	2158248	3098730	3414.17	2425.36	1.41	1539.75	2167.51	8
