Dataset	WindowSize	StepSize	RemoveEdges	AddEdges	BZ_Time(ms)	UCR_Time(ms)	Speedup	BZ_EdgePerMs	UCR_EdgePerMs
sx-stackoverflow	10	1	52132	52916	241.25	59.61	4.05	435.43	1762.24
sx-stackoverflow	10	2	94125	94953	216.50	102.86	2.10	873.32	1838.23
sx-stackoverflow	10	5	220659	214325	230.66	204.49	1.13	1885.86	2127.12
sx-stackoverflow	10	10	428336	418562	267.89	298.70	0.90	3161.34	2835.24
sx-stackoverflow	20	1	52132	50020	333.33	88.49	3.77	306.46	1154.36
sx-stackoverflow	20	2	94125	91111	313.56	159.58	1.96	590.76	1160.76
sx-stackoverflow	20	5	220659	210460	318.38	356.07	0.89	1354.12	1210.75
sx-stackoverflow	20	10	428336	423012	361.52	621.12	0.58	2354.93	1370.66
sx-stackoverflow	20	20	846898	884371	336.71	946.82	0.36	5141.72	1828.51
sx-stackoverflow	30	1	52132	48220	419.60	112.52	3.73	239.16	891.89
sx-stackoverflow	30	2	94125	96652	404.82	212.58	1.90	471.26	897.43
sx-stackoverflow	30	5	220659	229844	422.50	505.34	0.84	1066.28	891.48
sx-stackoverflow	30	10	428336	461359	464.11	911.95	0.51	1916.99	975.60
sx-stackoverflow	30	20	846898	888338	435.35	1478.29	0.29	3985.81	1173.81
sx-stackoverflow	30	30	1269910	1377277	419.64	1832.29	0.23	6308.25	1444.75
sx-stackoverflow	40	1	52132	49337	537.29	133.88	4.01	188.85	757.94
sx-stackoverflow	40	2	94125	105014	523.02	260.99	2.00	380.75	763.01
sx-stackoverflow	40	5	220659	235348	538.95	611.67	0.88	846.11	745.51
sx-stackoverflow	40	10	428336	426979	559.75	1095.91	0.51	1528.02	780.46
sx-stackoverflow	40	20	846898	915918	559.53	1975.43	0.28	3150.55	892.37
sx-stackoverflow	40	30	1269910	1447516	556.55	2627.95	0.21	4882.64	1034.05
sx-stackoverflow	40	40	1731269	1992862	649.95	3057.89	0.21	5729.88	1217.88
sx-stackoverflow	50	1	52132	40733	647.37	144.56	4.48	143.45	642.41
sx-stackoverflow	50	2	94125	100691	647.43	295.46	2.19	300.91	659.37
sx-stackoverflow	50	5	220659	241562	663.84	708.14	0.94	696.28	652.73
sx-stackoverflow	50	10	428336	488939	694.66	1378.47	0.50	1320.46	665.43
sx-stackoverflow	50	20	846898	1020537	707.92	2515.06	0.28	2637.93	742.50
sx-stackoverflow	50	30	1269910	1565883	712.63	3417.09	0.21	3979.32	829.88
sx-stackoverflow	50	40	1731269	2115917	790.39	4104.31	0.19	4867.48	937.35
sx-stackoverflow	50	50	2158248	2668093	815.79	4648.11	0.18	5916.14	1038.34
sx-stackoverflow	60	1	52132	48851	794.42	178.37	4.45	127.12	566.14
sx-stackoverflow	60	2	94125	107647	782.57	341.08	2.29	257.83	591.56
sx-stackoverflow	60	5	220659	260476	802.62	838.30	0.96	599.45	573.94
sx-stackoverflow	60	10	428336	531598	850.05	1640.36	0.52	1129.27	585.20
sx-stackoverflow	60	20	846898	1076944	877.28	3040.93	0.29	2192.97	632.65
sx-stackoverflow	60	30	1269910	1626978	886.90	4139.05	0.21	3266.31	699.89
sx-stackoverflow	60	40	1731269	2179154	968.22	5147.42	0.19	4038.79	759.69
sx-stackoverflow	60	50	2158248	2723228	1000.43	5842.64	0.17	4879.35	835.49
