Dataset	Slide_Step	Threads	Time(ms)	Speedup	Efficiency(%)	Remove_Edges	Add_Edges
cit-Patents	5	1	212.61	1.00	100.00	82564	82692
cit-Patents	5	2	202.63	1.05	52.46	82564	82692
cit-Patents	5	4	190.31	1.12	27.93	82564	82692
cit-Patents	5	8	185.73	1.14	14.31	82564	82692
cit-Patents	10	1	454.11	1.00	100.00	165514	164960
cit-Patents	10	2	419.66	1.08	54.10	165514	164960
cit-Patents	10	4	406.58	1.12	27.92	165514	164960
cit-Patents	10	8	387.63	1.17	14.64	165514	164960
cit-Patents	20	1	927.82	1.00	100.00	330485	330264
cit-Patents	20	2	869.32	1.07	53.36	330485	330264
cit-Patents	20	4	838.70	1.11	27.66	330485	330264
cit-Patents	20	8	810.94	1.14	14.30	330485	330264
soc-LiveJournal1	5	1	1375.47	1.00	100.00	342148	343416
soc-LiveJournal1	5	2	1224.52	1.12	56.16	342148	343416
soc-LiveJournal1	5	4	1153.89	1.19	29.80	342148	343416
soc-LiveJournal1	5	8	1102.56	1.25	15.59	342148	343416
soc-LiveJournal1	10	1	2405.84	1.00	100.00	685702	685060
soc-LiveJournal1	10	2	2195.54	1.10	54.79	685702	685060
soc-LiveJournal1	10	4	2094.72	1.15	28.71	685702	685060
soc-LiveJournal1	10	8	2021.01	1.19	14.88	685702	685060
soc-LiveJournal1	20	1	4266.86	1.00	100.00	1370461	1369780
soc-LiveJournal1	20	2	4039.16	1.06	52.82	1370461	1369780
soc-LiveJournal1	20	4	3873.20	1.10	27.54	1370461	1369780
soc-LiveJournal1	20	8	3778.75	1.13	14.11	1370461	1369780
sx-stackoverflow	5	1	1823.36	1.00	100.00	220659	361818
sx-stackoverflow	5	2	1786.05	1.02	51.04	220659	361818
sx-stackoverflow	5	4	1810.04	1.01	25.18	220659	361818
sx-stackoverflow	5	8	1801.09	1.01	12.65	220659	361818
sx-stackoverflow	10	1	3806.24	1.00	100.00	428336	740206
sx-stackoverflow	10	2	3784.00	1.01	50.29	428336	740206
sx-stackoverflow	10	4	3773.07	1.01	25.22	428336	740206
sx-stackoverflow	10	8	3740.43	1.02	12.72	428336	740206
sx-stackoverflow	20	1	7721.14	1.00	100.00	846898	1462599
sx-stackoverflow	20	2	7666.58	1.01	50.36	846898	1462599
sx-stackoverflow	20	4	7800.27	0.99	24.75	846898	1462599
sx-stackoverflow	20	8	7599.31	1.02	12.70	846898	1462599
