Dataset	Window_Size	Threads	Time(ms)
wiki-talk-temporal	50	1	1.57
wiki-talk-temporal	50	2	2.15
wiki-talk-temporal	50	4	1.72
wiki-talk-temporal	50	8	1.16
wiki-talk-temporal	100	1	4.27
wiki-talk-temporal	100	2	4.23
wiki-talk-temporal	100	4	3.43
wiki-talk-temporal	100	8	2.65
soc-LiveJournal1	50	1	117.51
soc-LiveJournal1	50	2	96.17
soc-LiveJournal1	50	4	78.19
soc-LiveJournal1	50	8	66.84
soc-LiveJournal1	100	1	190.92
soc-LiveJournal1	100	2	138.94
soc-LiveJournal1	100	4	102.93
soc-LiveJournal1	100	8	87.00
cit-Patents	50	1	17.92
cit-Patents	50	2	18.08
cit-Patents	50	4	17.00
cit-Patents	50	8	14.93
cit-Patents	100	1	19.14
cit-Patents	100	2	18.55
cit-Patents	100	4	16.19
cit-Patents	100	8	14.07
sx-superuser	50	1	1.27
sx-superuser	50	2	1.92
sx-superuser	50	4	1.34
sx-superuser	50	8	0.97
sx-superuser	100	1	1.70
sx-superuser	100	2	2.36
sx-superuser	100	4	1.66
sx-superuser	100	8	1.21
